nomeMinistro,statusMinistro
Armando Leite Rollemberg,Aposentado
José Fernandes Dantas,Aposentado
Evandro Gueiros Leite,Aposentado
Washington Bolívar de Brito,Aposentado
Antônio Torreão Braz,Aposentado
Carlos Mário da Silva Velloso,Aposentado
William Andrade Patterson,Aposentado
Romildo Bueno de Souza,Aposentado
José Cândido de Carvalho Filho,Aposentado
Pedro da Rocha Acioli,Aposentado
Américo Luz,Aposentado
Antônio de Pádua Ribeiro,Aposentado
Miguel Jeronymo Ferrante,Aposentado
Cid Flaquer Scartezzini,Aposentado
Jesus Costa Lima,Aposentado
Geraldo Barreto Sobral,Aposentado
Carlos Augusto Thibau Guimarães,Aposentado
Paulo Roberto Saraiva da Costa Leite,Aposentado
Ilmar Nascimento Galvão,Aposentado
Nilson Vital Naves,Aposentado
Eduardo Andrade Ribeiro de Oliveira,Aposentado
Francisco Dias Trindade,Aposentado
José de Jesus Filho,Aposentado
Francisco de Assis Toledo,Aposentado
Edson Carvalho Vidigal,Aposentado
Jacy Garcia Vieira,Aposentado
Athos Gusmão Carneiro,Aposentado
Luiz Vicente Cernicchiaro,Aposentado
Waldemar Zveiter,Aposentado
Luiz Carlos Fontes de Alencar,Aposentado
Francisco Cláudio de Almeida Santos,Aposentado
Sálvio de Figueiredo Teixeira,Aposentado
Raphael de Barros Monteiro Filho,Aposentado
Hélio de Melo Mosimann,Aposentado
Francisco Peçanha Martins,Aposentado
Demócrito Ramos Reinaldo,Aposentado
Humberto Gomes de Barros,Aposentado
Milton Luiz Pereira,Aposentado
Francisco Cesar Asfor Rocha,Aposentado
Adhemar Ferreira Maciel,Aposentado
José Anselmo de Figueiredo Santiago,Aposentado
Ruy Rosado de Aguiar Júnior,Aposentado
Vicente Leal de Araújo,Aposentado
Ari Pargendler,Aposentado
José Augusto Delgado,Aposentado
José Arnaldo da Fonseca,Aposentado
Fernando Gonçalves,Aposentado
Carlos Alberto Menezes Direito,Aposentado
Felix Fischer,Aposentado
Aldir Guimarães Passarinho Junior,Aposentado
Gilson Langaro Dipp,Aposentado
Hamilton Carvalhido,Aposentado
Jorge Tadeo Flaquer Scartezzini,Aposentado
Eliana Calmon Alves,Aposentado
Paulo Benjamin Fragoso Gallotti,Aposentado
Domingos Franciulli Netto,Aposentado
Sebastião de Oliveira Castro Filho,Aposentado
Laurita Hilário Vaz,Aposentado
Paulo Geraldo de Oliveira Medina,Aposentado
Luiz Fux,Aposentado
Teori Albino Zavascki,Aposentado
José de Castro Meira,Aposentado
Denise Martins Arruda,Aposentado
Hélio Quaglia Barbosa,Aposentado
Arnaldo Esteves Lima,Aposentado
Massami Uyeda,Aposentado
Napoleão Nunes Maia Filho,Aposentado
Sidnei Agostinho Beneti,Aposentado
Jorge Mussi,Aposentado
Paulo de Tarso Vieira Sanseverino,Aposentado
Assusete Dumont Reis Magalhães,Aposentado
Nefi Cordeiro,Aposentado
Antonio Carlos Ferreira,Em Atividade
Antonio Herman de Vasconcellos e Benjamin,Em Atividade
Antonio Saldanha Palheiro,Em Atividade
Benedito Gonçalves,Em Atividade
Daniela Rodrigues Teixeira,Em Atividade
Fátima Nancy Andrighi,Em Atividade
Francisco Cândido de Melo Falcão Neto,Em Atividade
Geraldo Og Nicéas Marques Fernandes,Em Atividade
Humberto Eustáquio Soares Martins,Em Atividade
João Otávio de Noronha,Em Atividade
Joel Ilan Paciornik,Em Atividade
José Afrânio Vilela,Em Atividade
Luis Felipe Salomão,Em Atividade
Luiz Alberto Gurgel de Faria,Em Atividade
Marcelo Navarro Ribeiro Dantas,Em Atividade
Marco Aurélio Bellizze Oliveira,Em Atividade
Marco Aurélio Gastaldi Buzzi,Em Atividade
Maria Isabel Diniz Gallotti Rodrigues,Em Atividade
Maria Thereza Rocha de Assis Moura,Em Atividade
Mauro Luiz Campbell Marques,Em Atividade
Messod Azulay Neto,Em Atividade
Paulo Dias de Moura Ribeiro,Em Atividade
Paulo Sérgio Domingues,Em Atividade
Raul Araújo Filho,Em Atividade
Regina Helena Costa,Em Atividade
Reynaldo Soares da Fonseca,Em Atividade
Ricardo Villas Bôas Cueva,Em Atividade
Rogerio Schietti Machado Cruz,Em Atividade
Sebastião Alves dos Reis Júnior,Em Atividade
Sérgio Luíz Kukina,Em Atividade
Teodoro Silva Santos,Em Atividade
